"uniqueid","highest_severity_rank","max_charge"
11735108,6,2
11735113,5,1
11735114,5,2
11735128,5,3
11735131,5,1
11735145,5,2
11735158,4,4
11735170,5,1
11735171,5,2
11735188,5,1
11735193,4,2
11735194,7,2
11735201,5,5
11735210,4,4
11735230,5,2
11735236,5,2
11735268,5,4
11735284,6,3
11735299,4,1
11735330,6,1
11735331,5,2
11735339,5,2
11735437,6,1
11735487,7,4
11735488,4,3
11735536,6,1
11735538,4,4
11735544,5,1
11735546,4,2
11736367,5,2
11736383,6,3
11736410,5,1
11736413,5,4
11736420,5,2
11736426,5,4
11736434,6,5
11736452,5,2
11736459,5,7
11736467,5,1
11736474,5,4
11736487,4,1
11736493,5,10
